Date,BXMSM,SPTR,SPX,PUTSM,CLL*,BXYSM,VIX¬ ,VXO,BXMD ,BFLY ,CLLZ ,CMBO ,CNDR ,PPUT 
3-Dec,560.7,1371.49,948.59,607.56,401.6,610.91,22.67,25.07,753.39,488.91,416.75,671.17,482.87,335.81
4-Jan,569.15,1401.63,967.93,617.78,407.34,622.54,21.81,23.86,768.2,490.57,422.64,682.71,485.74,340.98
4-Feb,578.06,1437.02,990.88,628.94,414.36,635.22,20.6,22.29,784.46,490.59,429.41,695.34,488.24,347.13
4-Mar,588.02,1475.85,1016.2,641.3,422.58,649.49,19.34,20.68,802.51,492.89,436.62,708.96,490.62,354.43
4-Apr,597.88,1511.6,1039.37,653.42,429.91,662.75,18.31,19.29,818.99,496.38,443.13,722.14,492.92,360.9
4-May,604.52,1536.8,1055.23,662.55,435.07,671.88,17.97,18.77,830.41,499.06,447.46,731.2,494.84,365.32
4-Jun,610.78,1558.06,1068.32,671.12,438.93,679.89,17.64,18.28,840.42,502.58,451.06,739.46,497.8,368.63
4-Jul,618.33,1580.5,1082.19,680.45,442.74,689.53,17.21,17.65,852.41,508.39,455.57,749.26,502.1,372.11
4-Aug,623.82,1596.25,1091.47,687.82,445.13,696.37,16.86,17.16,861.06,512.8,458.47,756.3,506.11,374.2
4-Sep,628.47,1610.21,1099.49,694.51,446.91,702.21,16.58,16.79,868.69,515.92,460.8,762.5,510.13,375.88
4-Oct,634.48,1626.93,1109.37,702.23,448.87,709.8,15.8,15.93,878.23,520.52,463.94,770.48,515.2,377.98
4-Nov,638.75,1638.93,1116,707.88,450.17,714.77,15.82,15.88,884.6,523.15,465.68,776.09,519.49,379.24
4-Dec,642.54,1655.46,1125.63,713.06,452.55,719.7,15.56,15.61,891.18,522.97,467.86,781.33,522.3,381.61
5-Jan,646.86,1670.17,1133.97,718.48,454.42,725.38,15.14,15.29,898.7,525.04,470.26,787.3,526.47,383.52
5-Feb,650.68,1678.75,1138.14,723.14,454.82,729.33,14.82,14.9,904.34,528.74,471.35,792.03,531.82,384.09
5-Mar,654.47,1688.5,1143.03,727.38,455.48,733.63,14.62,14.65,910.38,531.57,472.78,796.97,537.06,385
5-Apr,658.16,1697.7,1147.56,731.79,456.19,737.73,14.39,14.39,916.2,534.92,474.12,801.66,542.55,385.88
5-May,661.47,1706.28,1151.69,735.75,456.92,741.38,14.24,14.2,921.43,536.96,475.13,806.08,548.41,386.61
5-Jun,665.52,1717.59,1157.59,740.61,458.2,746.29,14.05,13.92,928.55,540.33,477.08,811.44,554.39,388.06
5-Jul,668.1,1726.44,1161.8,744.7,459.09,749.68,13.86,13.7,933.65,541.98,478.17,815.17,559.5,389.01
5-Aug,673.28,1745.44,1172.84,750.99,462.28,757.11,13.55,13.34,943.65,545.02,481.71,822.51,565.29,392.27
5-Sep,678.57,1762.5,1182.51,757.38,465.2,764.01,13.32,13.07,953,549.88,484.98,829.54,571.3,395.19
5-Oct,684.26,1779.32,1192.03,764.3,468.12,770.89,13.2,12.93,962.57,556.35,488.04,836.73,577.44,398.04
5-Nov,688.19,1791.47,1198.43,769.62,470.03,775.67,13.13,12.68,969.44,560.42,490.36,841.72,582.16,399.88
5-Dec,692.1,1803.72,1204.74,774.94,471.91,780.53,13.03,12.54,976.24,563.98,492.67,846.73,587.05,401.71
6-Jan,694.49,1811.09,1207.77,779.14,472.71,783.36,12.93,12.39,980.24,566.33,493.88,849.76,591.61,402.48
6-Feb,698.38,1826.27,1216,785.32,475.3,789.09,12.94,12.37,987.68,569.63,496.86,855.1,596.61,404.95
6-Mar,702.21,1838.82,1222.43,791.51,477.22,793.78,12.96,12.37,994.01,574.15,499.2,859.77,601.91,406.83
6-Apr,706.84,1856.03,1231.95,798.36,480.35,800.45,12.74,12.16,1002.65,578.4,502.77,865.83,607.2,409.73
6-May,712.84,1878.22,1244.76,806.72,484.59,809.01,12.43,11.79,1013.93,584.35,507.61,873.43,612.67,413.78
6-Jun,716.46,1891.05,1251.31,812.54,486.87,813.87,12.69,12.05,1020.3,587.95,510.52,877.66,616.15,415.76
6-Jul,721.27,1903.89,1257.88,819.66,488.64,819.13,12.78,12.14,1027.25,594.28,513.2,882.86,620.43,417.51
6-Aug,725.37,1912.19,1261.42,826.33,489.45,822.63,13.06,12.37,1031.79,601.62,514.62,886.71,623.91,418.16
6-Sep,729.6,1925.77,1268.38,833.41,491.53,827.61,13.04,12.33,1038.28,606.17,517,891.38,627.12,419.93
6-Oct,733.93,1942.4,1277.3,840.7,494.33,833.71,13.04,12.3,1046.18,609.25,520.11,896.77,630.26,422.35
6-Nov,740.3,1967.16,1291.54,850.13,498.96,842.91,12.69,12.03,1058.14,613.83,524.78,904.91,634.66,426.58
6-Dec,747.48,1989.54,1304.14,859.71,503.13,853.37,12.59,11.91,1071.47,620.82,530.02,914.18,641.31,430.3
7-Jan,755.32,2014.39,1318.31,869.83,507.87,864.82,12.55,11.87,1086.3,628.06,535.88,924.33,648.16,434.55
7-Feb,763.23,2037.83,1331.49,879.72,512.24,875.68,12.34,11.7,1100.44,635.3,541.39,934.38,654.92,438.48
7-Mar,769.66,2057.21,1342,887.82,515.76,884.82,12.6,12.04,1112.48,640.52,546.21,942.69,659.94,441.77
7-Apr,775.63,2076.61,1352.5,895.46,518.99,893.23,12.87,12.31,1123.61,643.61,550.82,950.38,663.07,444.72
7-May,781.21,2101.92,1366.82,902.82,523.55,901.71,13.09,12.53,1134.8,643.4,555.5,957.91,664.23,448.88
7-Jun,789.57,2138.7,1388.53,912.96,530.82,914.93,12.8,12.29,1151.68,645.07,562.56,969.71,667.7,455.5
7-Jul,797.05,2171.97,1407.96,921.71,537.97,927.08,13.07,12.64,1167.04,646.32,569.21,980.29,670.63,461.71
7-Aug,802.06,2198.2,1422.84,928.05,544.11,936.56,13.78,13.59,1179.12,645.53,574.8,988,672.86,467.01
7-Sep,807.08,2223.39,1437.02,934.99,549.42,945.79,14.7,14.62,1191.12,643.76,580.72,995.32,675.07,471.06
7-Oct,812.09,2251.46,1452.93,942.19,554.66,954.53,15.2,15.19,1203.43,641.45,586.85,1002.33,677.1,475.53
7-Nov,818.01,2277.13,1467.22,950.64,559.16,963.22,15.82,15.85,1215.65,642.96,592.45,1009.9,679.7,479.12
7-Dec,821.67,2291,1473.92,957.33,560.97,967.59,16.82,17.05,1222.35,643.48,595.28,1013.92,682.2,479.84
